0001 NaturalPiano 0 4 1
0002 SuperiorPian 47 4 1
0003 ClassicPiano 0 4 2
0004 UprightPiano 1 4 1
0145 Muted Gt. 1 0 4 29
0146 Muted Gt. 2 65 4 29
0147 Muted Gt. 3 66 4 29
0148 LP OverDrv 9 4 30
0149 RockRhythm1 24 4 31
0150 RockRhythm2 25 4 31
0151 TC MutedGt 2 4 29
0152 TC Clean 19 4 28
0153 JGuitar Scat 81 4 27
0154 Power Gt.1 16 4 31
0155 Power Gt.2 65 4 31
0156 Power Gt.3 66 4 31
0157 Dist Rtm GTR 26 4 31
0158 LP HalfDrv2 11 4 30
0159 Mid Tone GTR 23 4 28
0160 LP RearAtk 22 4 28
0161 Clean Half 1 4 28
0162 OpenHard 1 2 4 28
0163 OpenHard 2 3 4 28
0164 TC RearPk 17 4 28
0165 TC Cln ff 18 4 28
0166 AtkCleanGt 5 4 28
0167 Overdrv Gt 0 4 30
0168 Overdrive1 1 4 30
0169 Overdrive2 2 4 30
0170 Overdrive3 64 4 30
0171 More Drive 3 4 30
0172 Attack Dist 5 4 31
0173 LP Rear Pk 20 4 28
0174 LP Chorus 12 4 30
0175 TCFrntPick 16 4 28
0176 Funk Gt. 16 4 29
0177 Gt.Feedback1 8 4 31
0178 Gt.Feedback2 9 4 32
0179 Gt.Harmonics 0 4 32
0180 Pick Scrape 6 4 121
0181 Ulti Ac Bass 0 4 33
0182 XV Ac.Bass 9 4 33
0183 AcBass 1 45 4 33
0184 AcBass 2 46 4 33
0185 AcBass 3 47 4 33
0186 XV Bass+Ride 16 4 33
0187 Wild Ac.Bs 8 4 33
0188 TamBaStp 5 2 33
0189 Guitaron 48 4 33
0190 Chung Ruan 24 4 28
0191 Fingered Bs. 0 4 34
0192 5String Bs 83 4 33
0193 X 5String Bs2 83 2 33
0194 Jazz Bass 1 2 4 34
0195 Jazz Bass 2 3 4 34
0196 Rock Bass 4 4 34
0197 Picked Bass 0 4 35
0198 Picked Bass2 1 4 35
0199 Picked Bass3 2 4 35
0200 Picked Bass4 3 4 35
0201 Fretless Bs1 0 4 36
0202 Fretless Bs2 1 4 36
0203 Fretless Bs3 2 4 36
0204 Smooth Bass 19 4 40
0205 Mute Bass 84 4 33
0206 Muted PickBs 8 4 35
0207 Nu Slap Bs 80 2 37
0208 Finger Slap 1 4 34
0209 Slap Pop 1 4 37
0210 Drum'n'Bass 82 4 39
0211 RubberBass 1 13 4 40
0212 RubberBass 2 16 4 40
0213 Synth Bass 2 0 4 40
0214 Bass Invader 80 4 40
0215 TB Saw Bass 81 4 39
0216 MG Bass 4 4 40
0217 Modular Bass 2 4 40
0218 SynthBass201 1 4 40
0219 u/i/e/o V/Sw 84 4 40
0220 SH101 Bass 1 17 4 40
0221 SH101 Bass 2 18 4 40
0222 JP-8 Bass 4 4 39
0223 Bs+DistGT 40 119 34
0224 RND Bass 26 4 40
0225 MG LightBass 39 4 40
0226 LightSynBass 45 4 40
0227 Bassic Needs 83 4 39
0228 Synth Bass 1 0 4 39
0229 JP-4 Bass 3 4 39
0230 Tekno Bass 10 4 39
0231 Echo SynBass 7 4 103
0232 Bass Slide1 5 4 121
0233 Bass Slide 47 4 121
0234 DoubleSlide 48 4 121
0235 Nylon Gt.o 16 4 25
0236 Nylon Gt.1 64 4 25
0237 Nylon Gt.2 32 4 25
0238 Nylon-str.Gt 0 4 25
0239 Steel.Gt1 52 4 26
0240 Steel.Gt2 64 4 26
0241 Steel.Gt3 65 4 26
0242 Steel.Gt5 70 4 26
0243 Steel.Gt4 69 4 26
0244 Steel.Gt6 32 4 26
0245 Steel-str.Gt 0 4 26
0246 Steel + Body 33 4 26
0247 Ac.Guitar1 48 4 26
0248 Ac.Guitar2 49 4 26
0249 Ac.Guitar3 50 4 26
0250 2_Guitars 66 4 26
0251 12 Strings 8 4 26
0252 Nylon+Steel1 9 4 26
0253 Nylon+Steel2 67 4 26
0254 Mandolin 24 4 26
0255 Mandolin Tr. 26 4 26
0256 MandolinTrem 18 4 26
0257 Requint Gt.1 40 4 25
0258 Requint Gt.2 52 4 25
0259 Fl.Gtr 1 48 4 25
0260 Fl.Gtr 2 49 4 25
0261 Fl.GtrRoll 51 4 25
0262 Nylon+Steel3 68 4 26
0263 Ukulele 8 4 25
0264 Velo Harmnix 24 4 25
0265 Atk Steel Gt 10 4 26
0266 TamCoStp 50 2 25
0267 TamCoTrl 51 2 25
0268 TamBPStp 52 2 25
0269 TamBPTrl 53 2 25
0270 TamPrTrl 54 2 25
0271 TamORTrl 55 2 25
0272 TamORBTr 56 2 25
0273 Cavaquinho 0 5 25
0274 Ac.Gtr.Hrm 51 4 26
0275 Gt.FretNoise 0 4 121
0276 St.Strings 1 16 4 49
0277 St.Strings 2 17 4 49
0278 St.Strings 3 18 4 49
0279 Strings 11 5 49
0280 String Ens 12 5 49
0281 ChamberStr 2 4 49
0282 Velo Strings 24 4 49
0283 Mild Strings 7 4 49
0284 Trem Str.St. 0 4 45
0285 SuspenseStr 9 4 45
0286 St.Slow Str1 10 4 50
0287 St.Slow Str2 11 4 50
0288 SlowStrings1 0 4 50
0289 SlowStrings2 1 4 50
0290 SlowStrings3 2 4 50
0291 Slow Tremolo 8 4 45
0292 StraightStr. 10 4 52
0293 Warm Strings 9 4 50
0294 Bright Str.1 1 4 49
0295 Bright Str.2 4 4 49
0296 Bright Str.3 5 4 49
0297 Orchestra 1 9 4 49
0298 Orchestra 2 8 4 49
0299 Orchestra 3 20 4 49
0300 Film Octaves 7 5 49
0301 Oct Strings1 32 4 49
0302 Marcato 8 5 49
0303 St.Pizzicato 3 4 46
0304 Solo Pizz. 8 4 46
0305 PizzicatoStr 0 4 46
0306 X Violin 80 4 41
0307 Folk Violin 16 2 41
0308 FolkViolinVb 17 2 41
0309 Violin Atk 1 4 41
0310 ViolnSoloSRX 0 5 41
0311 Slow Violin 8 4 41
0312 Viola 0 4 42
0313 Cello 0 4 43
0314 Cello sect. 3 4 49
0315 Contrabass 0 4 44
0316 Harp 0 4 47
0317 Harp St. 2 4 47
0318 Timpani 0 4 48
0319 Str.+Flute 13 4 49
0320 Strings+Horn 12 4 49
0321 S.Str+Choir 12 4 50
0322 JP8 Strings1 81 4 51
0323 JP8 Strings2 80 4 51
0324 JP Strings 3 4 51
0325 JP Strings 1 61 2 51
0326 JP Saw Str. 4 4 52
0327 Syn.Strings1 0 4 51
0328 Syn.Strings2 0 4 52
0329 Syn.Strings3 8 4 51
0330 Syn.Strings4 9 4 51
0331 Syn.Strings5 10 4 51
0332 OB Strings 1 4 51
0333 Air Strings 8 4 52
0334 JUNO Strings 2 4 52
0335 60s Strings 40 4 49
0336 Tron Strings 24 4 51
0337 Noiz Strings 25 4 51
0338 Strings Hit 24 4 56
0339 OrchestraHit 0 4 56
0340 Double Hit 10 4 56
0341 Syn Vox Pad 0 4 55
0342 Fem Mm Srt 82 4 54
0343 Rich Choir 1 14 4 53
0344 St.ChoirAahs 8 4 53
0345 Jazz Scat 6 4 54
0346 Choir Aahs 0 4 53
0347 ChorusAahs 32 4 53
0348 Voice Oohs 48 4 54
0349 St.BoysChoir 13 4 53
0350 Humming 40 4 54
0351 Silent Night 9 4 55
0352 Melted Choir 9 4 53
0353 JzVoiceBap 10 4 54
0354 Voice Dahs 8 4 54
0355 SynVox 1 4 55
0356 Syn.Voice 1 8 4 55
0357 Syn.Voice 2 10 4 55
0358 Solo Vox 0 4 86
0359 Chorus Oohs2 3 4 54
0360 Chorus Oohs1 0 4 54
0361 VoiceLah Fem 16 4 54
0362 ChorusLahFem 17 4 54
0363 ChorusLuhFem 19 4 54
0364 Tenor Sax 0 4 67
0365 Blowed Tenor 46 4 67
0366 St.Tenor Sax 9 4 67
0367 Latin Tenor 44 4 67
0368 Super Tenor 47 4 67
0369 TenorSaxFst 50 4 67
0370 BreathyTn. 8 4 67
0371 BlowAltoVib 50 4 66
0372 Folk A.Sax 17 2 66
0373 Folk A.SaxVb 18 2 66
0374 FolkAlto 51 4 66
0375 AltoSax Soft 46 4 66
0376 AltoSax Exp. 8 4 66
0377 Alto Sax 0 4 66
0378 Baritone Sax 0 4 68
0379 Bari & Tenor 8 4 68
0380 Grow Sax 9 4 66
0381 Soprano Exp. 8 4 65
0382 Soprano Sax2 0 4 65
0383 Sax Section 17 4 66
0384 AltoSax + Tp 16 4 66
0385 ORSaxVib 2 2 66
0386 ORSaxTrl 3 2 66
0387 Ac.Brass 80 4 62
0388 Brass Sforz. 81 4 62
0389 Brass sfz 1 10 4 62
0390 Brass sfz 2 12 4 62
0391 St. Brass ff 3 4 62
0392 Africa Brass 80 4 64
0393 St.Orch Brs1 36 4 62
0394 Octave Brass 24 4 62
0395 FatPop Brass 14 4 62
0396 2Tps+Tb 43 4 62
0397 2Tps+Tb+Sax 44 4 62
0398 Fat + Reed 26 4 62
0399 Warm Brass 2 4 64
0400 Orch Brass 33 4 62
0401 St.Orch Brs2 38 4 62
0402 Brass + Reed 25 4 62
0403 Brass_1 0 4 62
0404 Brass_2 8 4 62
0405 SC Brt Brass 1 5 62
0406 Bones Sect. 2 4 62
0407 Quad Brass1 4 4 62
0408 Quad Brass2 5 4 62
0409 Brass Fall 16 4 62
0410 Switch Fall 0 5 62
0411 Jump Brass 5 4 63
0412 MG Brass fst 81 4 64
0413 MKS Brass 4 4 63
0414 JUNO Brass 1 4 63
0415 Fat SynBrass 5 4 64
0416 Poly Brass 80 4 63
0417 PowerBrass 47 4 62
0418 Synth Brass 0 4 63
0419 Pro Brass 8 4 63
0420 P5 Brass 0 4 64
0421 Sync Brass 4 4 64
0422 OB Brass 9 4 64
0423 Tuba 1 0 4 59
0424 Tuba 2 1 4 59
0425 Tuba 3 47 4 59
0426 Folk Tuba 45 4 59
0427 Tuba + Horn 8 4 59
0428 French Horns 0 4 61
0429 Fr.Horn 1 4 61
0430 Wide FreHrns 3 4 61
0431 F.Hrn Slow 8 4 61
0432 Horn + Orche 2 4 61
0433 Trombone 1 0 4 58
0434 Trombone 2 1 4 58
0435 V Twin bones 2 4 58
0436 Dual Horns 9 4 61
0437 Truba 8 2 58
0438 Trumpet 0 4 57
0439 Trumpet2 48 4 57
0440 Rom/Mar Tp 51 4 57
0441 FolkTrumpVb 18 2 57
0442 MariachiTp 50 4 57
0443 Bright Tp. 24 4 57
0444 Romantc Tp 49 4 57
0445 Tp Mar/Shk 52 4 57
0446 Warm Tp.1 25 4 57
0447 Dark Trumpet 3 4 57
0448 Tp Shake 53 4 57
0449 Atk Trumpet 47 4 57
0450 FolkTrumpet 1 4 57
0451 Twin Tp. 27 4 57
0452 TrumpetFall2 17 4 62
0453 Muted Tp 1 48 4 60
0454 Muted Tp 2 49 4 60
0455 MuteTrumpet1 0 4 60
0456 MuteTrumpet2 2 4 60
0457 MuteTrumpet3 3 4 60
0458 Muted Horns 8 4 60
0459 FlugelHorn 8 4 57
0460 FluteVibAtk 52 4 74
0461 FlTraverso 3 4 74
0462 Flute Exp 2 4 74
0463 Flute 1 0 4 74
0464 Flute 2 1 4 74
0465 Piccolo 1 0 4 73
0466 JazzClariVib 50 4 72
0467 FolkClarinet 51 4 72
0468 FolkClarinVb 17 2 72
0469 Folk Clarin 16 2 72
0470 SoftClarinet 52 4 72
0471 Clarinet 0 4 72
0472 Bs Clarinet 8 4 72
0473 Oboe 0 4 69
0474 Oboe Exp. 8 4 69
0475 English Horn 0 4 70
0476 Bassoon 0 4 71
0477 BottleBlow1 0 4 77
0478 BottleBlow2 47 4 77
0479 The Bottle 46 4 77
0480 Pan Flute1 0 4 76
0481 Pan Flute2 47 4 76
0482 Whistle 1 0 4 79
0483 Whistle 2 1 4 79
0484 Quad Wind 17 4 72
0485 Recorder 0 4 75
0486 Ocarina 0 4 80
0487 Big Lead 4 4 82
0488 OB Saw 26 4 82
0489 LM Square 6 4 81
0490 CC Solo 4 4 81
0491 Twin Sine 11 4 81
0492 Dual Sqr&Saw 23 4 81
0493 Velo Lead 5 4 82
0494 MG Square 1 4 81
0495 Hollow Mini 2 4 81
0496 Saw Wave 0 4 82
0497 Unison Saws 46 4 91
0498 Poly Saws 83 4 91
0499 SuperSaws 47 4 91
0500 Poly Key 82 4 91
0501 80's PolySyn 1 4 91
0502 Super Poly 4 4 91
0503 Polysynth 1 0 4 91
0504 Polysynth 2 2 4 91
0505 OB Stab 2 4 101
0506 Unison SawLd 7 4 84
0507 MG SawLead 2 39 4 82
0508 Fat GR Lead 3 4 85
0509 D-50 Fantasy 43 4 89
0510 Atmosphere 0 4 100
0511 Ice Rain 0 4 97
0512 Syn.Calliope 0 4 83
0513 P5 Sync Lead 16 4 85
0514 Acid Guitar 10 4 85
0515 D-50 Fat Saw 11 4 82
0516 Euro-Dance 2 81 4 88
0517 OB DoubleSaw 12 4 82
0518 Rock Lead 18 4 85
0519 Techno Saw 47 4 82
0520 JP DoubleSaw 13 4 82
0521 JP SuperSaw 15 4 82
0522 CS Saw 30 4 82
0523 MG Saw Lead 31 4 82
0524 Chiffer Lead 0 4 84
0525 LM Pure Lead 8 4 83
0526 LA Brass Ld 22 4 85
0527 Big Fives 1 4 87
0528 SequenceSaw3 46 4 82
0529 Euro-Dance 1 80 4 88
0530 LM Blow Lead 9 4 83
0531 Xpressive 83 4 88
0532 Square Wave 0 4 81
0533 2600 Sine 8 4 81
0534 KG Lead 10 4 81
0535 Dist Square 19 4 81
0536 303SquarDst2 21 4 81
0537 HipHop Sq 33 4 81
0538 Flux Pulse 35 4 81
0539 Panning Lead 10 4 103
0540 LA Saw 7 4 82
0541 FatSawLead 14 4 82
0542 Waspy Synth 16 4 82
0543 MG Saw 24 4 82
0544 Natural Lead 36 4 82
0545 Synchronized 38 4 82
0546 SequenceSaw2 41 4 82
0547 Octave Stack 9 4 91
0548 Reso Saw 42 4 82
0549 Cheese Saw 43 4 82
0550 ForcefulLead 5 4 84
0551 Mad Lead 8 4 84
0552 CrowdingLead 9 4 84
0553 Space Org X 81 4 87
0554 Double Sqr. 10 4 84
0555 Charang 0 4 85
0556 Fat SyncLead 17 4 85
0557 5th DecaSync 19 4 85
0558 Dirty Sync 20 4 85
0559 DualSyncLead 21 4 85
0560 5th Saw Wave 0 4 87
0561 JP 5th Saw 5 4 87
0562 Bass & Lead 0 4 88
0563 Fat & Perky 2 4 88
0564 HollowReleas 4 4 100
0565 Warm Pad 0 4 90
0566 LA Warm Pad 82 4 90
0567 Attack! Pad 83 4 90
0568 Human Pad 10 4 90
0569 Thick Matrix 1 4 90
0570 Sine Pad 5 4 90
0571 JP Soft Pad 13 4 90
0572 Stacked Pad 45 4 90
0573 Warm JP STR 47 4 90
0574 Warm Squ Pad 46 4 92
0575 JP8 Hollow 44 4 92
0576 Pad With 81 4 90
0577 OB Soft Pad 6 4 90
0578 Oct.PWM Pad 12 4 90
0579 Warm Voices 82 4 95
0580 Vox Pad 83 4 95
0581 Ambient Pad 6 4 100
0582 Itopia 3 4 92
0583 EP Heaven 44 4 89
0584 Bell Heaven 3 4 89
0585 Water Space 4 4 92
0586 X-hale 81 4 95
0587 JP8Haunting 43 4 92
0588 Metal Pad 0 4 94
0589 Silky Pad 1 9 4 104
0590 Echo Pan 1 2 4 103
0591 Brightness 0 4 101
0592 D-50 Retour 5 4 101
0593 Fantasia 1 0 4 89
0594 Music Bell 10 4 99
0595 Big Panner 4 4 103
0596 Reso Panner 5 4 103
0597 Goblin 0 4 102
0598 7th Atmos. 17 4 104
0599 D-Mention 80 4 95
0600 EP Pad 9 4 97
0601 Bowed Glass 0 4 93
0602 Mystic Pad 6 4 104
0603 Echo Drops 0 4 103
0604 Rotary Strng 3 4 90
0605 Stack Pad 9 4 90
0606 Sweep Stack 13 4 96
0607 Sweep Pipe 12 4 96
0608 SawsSweep 47 4 96
0609 Stray Pad 15 4 96
0610 Anklung Pad 3 4 97
0611 Tine Pad 1 4 94
0612 Clavi Pad 8 4 97
0613 Galaxy Way 18 4 104
0614 Rising OSC. 19 4 104
0615 Noise Peaker 6 4 92
0616 Etherality 5 4 104
0617 Reso Stack 10 4 91
0618 Techno Stack 11 4 91
0619 Happy Synth 15 4 91
0620 ForwardSweep 16 4 91
0621 ReverseSweep 17 4 91
0622 Warriors 4 4 96
0623 Shwimmer 9 4 96
0624 Celestial Pd 10 4 96
0625 Bamboo Hit 7 4 92
0626 Saw Impulse 5 4 97
0627 Crystal 0 4 99
0628 Blow Bell 12 4 99
0629 Air Bells 17 4 99
0630 Brass Star 3 4 101
0631 Abduction 3 4 102
0632 Saw Strings 46 4 90
0633 UFO FX 14 4 102
0634 FallinInsect 18 4 102
0635 Halo Pad 0 4 95
0636 Sweep Pad 0 4 96
0637 Oud 24 4 106
0638 Oud+Strings 28 4 106
0639 Converge 8 4 96
0640 Echo Pan 2 3 4 103
0641 Pan Sequence 8 4 103
0642 Star Theme 0 4 104
0643 Noise&SawHit 25 4 102
0644 DancingDrill 27 4 102
0645 Dirty Stack 28 4 102
0646 Tambra 10 4 97
0647 Tamboura 16 4 105
0648 Rabab 8 4 106
0649 Gopichant 16 4 106
0650 Shamisen 0 4 107
0651 Kalimba 0 4 109
0652 Sanza 8 4 109
0653 Bagpipe 0 4 110
0654 UillnPipe Or 11 4 110
0655 Fiddle 0 4 111
0656 Pungi 8 4 112
0657 Banjo 0 4 106
0658 Muted Banjo 1 4 106
0659 Cimbalom_F 2 2 16
0660 HDMallCimba 3 2 16
0661 Zither 16 4 16
0662 Santur 0 4 16
0663 Cimbalom 8 4 16
0664 Dulcimer 24 4 16
0665 Purify 0 5 11
0666 Tron Flute 51 4 74
0667 ORClaVib 2 2 72
0668 ORClaTrl 3 2 72
0669 Frula 10 2 76
0670 FrulaTrl 11 2 76
0671 Fujara 12 2 76
0672 Quena 9 2 76
0673 NAY 8 4 73
0674 Shakuhachi 0 4 78
0675 Kawala 8 4 76
0676 Di 16 4 73
0677 TinWhistle1 24 4 76
0678 TinWhtsle Nm 25 4 76
0679 ShakuBamboo 47 4 78
0680 Arghool 32 4 73
0681 BaritoneShrt 10 4 68
0682 BaritoneLong 12 4 68
0683 Bangdi 15 5 72
0684 Bandi Grwl 16 5 72
0685 Bandi/Grwl 17 5 72
0686 Bangdi /3 18 5 72
0687 Esraj&Mizmar 19 5 72
0688 Hulusi 20 5 72
0689 Hulusi2 21 5 72
0690 Hulusi2/3 1 22 5 72
0691 Hls2 Sld Dw 23 5 72
0692 Hls2 Sld Up 24 5 72
0693 Hls2 VbMouth 25 5 72
0694 Hls2/3 Mono 26 5 72
0695 Hls2/Vb Mono 27 5 72
0696 Hls2/VbMouth 28 5 72
0697 Suona Grwl 30 5 72
0698 Suona/Grwl 31 5 72
0699 Qudi 0 5 78
0700 Qudi /3 1 5 78
0701 Qudi Orn 2 5 78
0702 Qudi/Orn 3 5 78
0703 Taj Mahal 4 5 78
0704 Xun 5 5 78
0705 Xun Orn 6 5 78
0706 Xun/Orn 7 5 78
0707 Xiao 8 5 78
0708 Xiao Orn 9 5 78
0709 Xiao/Orn 10 5 78
0710 Harmonium 1 70 4 22
0711 Harmonium 2 71 4 22
0712 Harmonium 3 72 4 22
0713 Zhongruan 1 5 25
0714 Zhngruan Vib 2 5 25
0715 Zhngruan/Vib 3 5 25
0716 Zhngruan Trm 4 5 25
0717 Zhngruan/Trm 5 5 25
0718 Sacred Bells 1 5 11
0719 BonangGamSRX 0 5 13
0720 BelAngk SRX 1 5 13
0721 BsKalimbaSRX 2 5 13
0722 Kane / SRX 3 5 13
0723 Reyong / SRX 4 5 13
0724 VelAfro SRX2 5 5 13
0725 Yang Qin 24 4 47
0726 Yangqin 6 5 13
0727 Yangqin /3 7 5 13
0728 Yanqin Hrd 8 5 13
0729 Yanqin Trm 9 5 13
0730 Yanqin/Hrd 10 5 13
0731 Yanqin/Trm 11 5 13
0732 Erhu 1 5 41
0733 Erhu Harm 2 5 41
0734 Erhu/Harm 3 5 41
0735 Erhu/Vib 4 5 41
0736 SihuHorsScrm 9 5 49
0737 Oygur 12 5 13
0738 Log drum 98 119 13
0739 Matoquin 13 5 49
0740 Mizmar 24 4 112
0741 Mizmar Solo 0 5 112
0742 Uillean Pipe 9 4 110
0743 Sitar 1 0 4 105
0744 Sitar 2 1 4 105
0745 Hichiriki 16 4 112
0746 Pi Pa 32 4 106
0747 Drone Sitar 7 5 105
0748 Sitar/Drone 4 4 105
0749 Sitar 3 5 4 105
0750 Tsugaru 1 4 107
0751 San Xian 9 4 106
0752 Koto 0 4 108
0753 Syn Shamisen 8 4 107
0754 Gu Zheng 1 4 108
0755 Taisho Koto 8 4 108
0756 Kanoun 16 4 108
0757 Bodhran 9 4 109
0758 Bodhran Mute 10 4 109
0759 Didgeridoo 8 4 110
0760 Kanoon+Choir 19 4 108
0761 Oct Harp 24 4 108
0762 UillnPipe Nm 10 4 110
0763 Er Hu 8 4 111
0764 Gao Hu 9 4 111
0765 Shanai 1 0 4 112
0766 Shanai 2 1 4 112
0767 Suona 1 32 4 112
0768 Suona 2 33 4 112
0769 Tinkle Bell 0 4 113
0770 Gender 9 4 113
0771 Pemade 15 4 113
0772 Rababa 10 4 111
0773 BOUZ_BAG_1 21 2 106
0774 JV Bousouki 18 2 106
0775 Gajde 11 2 110
0776 Kajar 17 4 113
0777 Kelontuk Sid 20 4 113
0778 Atarigane 8 4 114
0779 Guzheng 0 5 105
0780 Guzhng Trm 1 5 105
0781 Guzhng/Trm 2 5 105
0782 St.GuZhngSRX 3 5 105
0783 SitarGlisSRX 4 5 105
0784 Shamisen SRX 5 5 105
0785 Zheng Zither 6 5 105
0786 Pipa 0 5 106
0787 Pipa /4 1 5 106
0788 Pipa Harm 2 5 106
0789 Pipa Vib 3 5 106
0790 Pipa Trem 4 5 106
0791 Pipa/Harm 5 5 106
0792 Pipa/Vib 6 5 106
0793 Pipa/Trem 7 5 106
0794 Rawap 8 5 106
0795 Rawap Trem 9 5 106
0796 Rawap/Trem 10 5 106
0797 Gamelan Gong 98 119 113
0798 RAMA Cymbal 100 119 113
0799 Bonang 96 119 113
0800 Steel Drums 0 4 115
0801 Woodblock 0 4 116
0802 Taiko 0 4 117
0803 Sine Perc. 10 4 119
0804 Melo. Tom 1 0 4 118
0805 Jungle SD 18 4 118
0806 Synth Drum 0 4 119
0807 Concert BD 8 4 117
0808 Castanets 8 4 116
0809 Tabla+ 0 5 115
0810 Reverse Cym. 0 4 120
0811 Cymbal Roll 47 4 113
0812 Wind Chimes 5 4 125
0813 Rev.Snare 8 4 120
0814 Rev.Tom 25 4 120
0815 Agogo 0 4 114
0816 Dholak 27 4 117
0817 Industry Hit 26 4 56
0818 Rave Hit 23 4 56
0819 Impact Hit 8 4 56
0820 Euro Hit 3 4 56
0821 Bass Hit 1 4 56
0822 Techno Hit 17 4 56
0823 Perc. Hit 11 4 56
0824 Shock Wave 12 4 56
0825 Clap Hit 27 4 56
0826 Gun Shot 0 4 128
0827 Lasergun 2 4 128
0828 Big Shot 5 4 128
0829 Explosion 3 4 128
0830 Telephone 1 0 4 125
